msData_ID	spotInd	include	name	group	class	batch	startRT_seconds	endRT_seconds	comment
20180929_0501	0	True	Spot_0	SV	unknown	5	3.045999929	35.52000046	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0501', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0502	0	True	Spot_0	CSW	unknown	5	3.045999929	37.54899859	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0502', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0503	0	True	Spot_0	SV	unknown	5	4.0609999	38.56400013	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0503', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0504	0	True	Spot_0	QC MIX22	unknown	5	5.076000094	39.57900167	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0504', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0505	0	True	Spot_0	WB	unknown	5	5.076000094	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0505', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0506	0	True	Spot_0	ULW GP	unknown	5	6.090999842	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0506', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0507	0	True	Spot_0	ULW GP	unknown	5	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0507', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0508	0	True	Spot_0	ULW GP	unknown	5	7.105000019	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0508', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0509	0	True	Spot_0	SV	unknown	5	9.135000408	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0509', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0510	0	True	Spot_0	SML GP	unknown	5	8.119999766	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0510', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
